Dataset,FS,Imbalance,Classifier,Precision,Recall,F1,AUC
CM1,None,None,LR,0.2333,0.095,0.1305,0.7509
CM1,None,None,SVM,0.0,0.0,0.0,0.7243
CM1,None,None,RF,0.0,0.0,0.0,0.7064
CM1,None,None,XGB,0.1619,0.11,0.125,0.7716
CM1,None,SMOTE,LR,0.2734,0.595,0.3693,0.7351
CM1,None,SMOTE,SVM,0.2517,0.465,0.3189,0.7465
CM1,None,SMOTE,RF,0.3152,0.21,0.2254,0.7418
CM1,None,SMOTE,XGB,0.3992,0.375,0.3555,0.7708
CM1,None,ADASYN,LR,0.2543,0.595,0.3501,0.7376
CM1,None,ADASYN,SVM,0.2561,0.54,0.3412,0.7297
CM1,None,ADASYN,RF,0.2333,0.23,0.2236,0.7491
CM1,None,ADASYN,XGB,0.2982,0.335,0.302,0.7525
CM1,IG,None,LR,0.2333,0.07,0.1019,0.7634
CM1,IG,None,SVM,0.0,0.0,0.0,0.7215
CM1,IG,None,RF,0.0,0.0,0.0,0.687
CM1,IG,None,XGB,0.29,0.165,0.1931,0.755
CM1,IG,SMOTE,LR,0.2717,0.615,0.3707,0.777
CM1,IG,SMOTE,SVM,0.2445,0.535,0.3247,0.7303
CM1,IG,SMOTE,RF,0.2242,0.255,0.2268,0.7174
CM1,IG,SMOTE,XGB,0.3867,0.375,0.37,0.7291
CM1,IG,ADASYN,LR,0.2769,0.62,0.376,0.7605
CM1,IG,ADASYN,SVM,0.3368,0.585,0.4165,0.7743
CM1,IG,ADASYN,RF,0.2347,0.25,0.2247,0.697
CM1,IG,ADASYN,XGB,0.3187,0.27,0.2648,0.742
CM1,CFS,None,LR,0.1333,0.075,0.0952,0.7932
CM1,CFS,None,SVM,0.0,0.0,0.0,0.644
CM1,CFS,None,RF,0.1,0.025,0.04,0.7051
CM1,CFS,None,XGB,0.1917,0.12,0.1432,0.7101
CM1,CFS,SMOTE,LR,0.3035,0.69,0.413,0.8057
CM1,CFS,SMOTE,SVM,0.2344,0.595,0.3315,0.7565
CM1,CFS,SMOTE,RF,0.1493,0.185,0.162,0.6985
CM1,CFS,SMOTE,XGB,0.2585,0.31,0.2723,0.6929
CM1,CFS,ADASYN,LR,0.3157,0.745,0.4364,0.8102
CM1,CFS,ADASYN,SVM,0.2269,0.57,0.3172,0.7474
CM1,CFS,ADASYN,RF,0.1429,0.165,0.1436,0.7088
CM1,CFS,ADASYN,XGB,0.2117,0.265,0.2271,0.7137
JM1,None,None,LR,0.5898,0.1041,0.1766,0.6737
JM1,None,None,SVM,0.6079,0.0903,0.1572,0.6058
JM1,None,None,RF,0.5351,0.1896,0.2794,0.6927
JM1,None,None,XGB,0.4647,0.2075,0.2866,0.6638
JM1,None,SMOTE,LR,0.3561,0.5155,0.4209,0.6735
JM1,None,SMOTE,SVM,0.3768,0.4934,0.427,0.687
JM1,None,SMOTE,RF,0.4758,0.3487,0.4018,0.7017
JM1,None,SMOTE,XGB,0.4416,0.2835,0.345,0.6731
JM1,None,ADASYN,LR,0.3432,0.5556,0.4242,0.6715
JM1,None,ADASYN,SVM,0.3556,0.5514,0.432,0.6824
JM1,None,ADASYN,RF,0.4677,0.3343,0.3896,0.7037
JM1,None,ADASYN,XGB,0.4476,0.2739,0.3392,0.6724
JM1,IG,None,LR,0.5749,0.0927,0.1594,0.6687
JM1,IG,None,SVM,0.6164,0.0652,0.1177,0.6177
JM1,IG,None,RF,0.5094,0.1866,0.2728,0.6779
JM1,IG,None,XGB,0.4779,0.2123,0.2937,0.6626
JM1,IG,SMOTE,LR,0.3642,0.497,0.4198,0.6731
JM1,IG,SMOTE,SVM,0.3778,0.4874,0.4252,0.6873
JM1,IG,SMOTE,RF,0.429,0.3493,0.3848,0.6819
JM1,IG,SMOTE,XGB,0.403,0.3613,0.3804,0.6631
JM1,IG,ADASYN,LR,0.3397,0.555,0.4212,0.6699
JM1,IG,ADASYN,SVM,0.3453,0.5604,0.427,0.6798
JM1,IG,ADASYN,RF,0.4189,0.3589,0.3858,0.6813
JM1,IG,ADASYN,XGB,0.3973,0.3541,0.3722,0.6639
JM1,CFS,None,LR,0.5668,0.0933,0.1599,0.6693
JM1,CFS,None,SVM,0.5952,0.0807,0.1418,0.6123
JM1,CFS,None,RF,0.518,0.189,0.2766,0.6821
JM1,CFS,None,XGB,0.4667,0.2087,0.2881,0.6687
JM1,CFS,SMOTE,LR,0.3632,0.5077,0.4234,0.6713
JM1,CFS,SMOTE,SVM,0.3764,0.4695,0.4174,0.6846
JM1,CFS,SMOTE,RF,0.4299,0.3577,0.3902,0.6896
JM1,CFS,SMOTE,XGB,0.3912,0.3654,0.3775,0.668
JM1,CFS,ADASYN,LR,0.3439,0.5586,0.4256,0.6693
JM1,CFS,ADASYN,SVM,0.349,0.5538,0.428,0.6785
JM1,CFS,ADASYN,RF,0.435,0.3774,0.4037,0.6894
JM1,CFS,ADASYN,XGB,0.3959,0.3564,0.3747,0.6731
KC1,None,None,LR,0.6372,0.2036,0.3068,0.6872
KC1,None,None,SVM,0.6274,0.1561,0.2494,0.6582
KC1,None,None,RF,0.5776,0.3156,0.4058,0.7058
KC1,None,None,XGB,0.5318,0.3826,0.4407,0.6935
KC1,None,SMOTE,LR,0.4311,0.5704,0.4889,0.6836
KC1,None,SMOTE,SVM,0.4672,0.5062,0.4823,0.6736
KC1,None,SMOTE,RF,0.4939,0.4234,0.4532,0.6966
KC1,None,SMOTE,XGB,0.4805,0.4108,0.4413,0.6748
KC1,None,ADASYN,LR,0.3929,0.6374,0.4848,0.6786
KC1,None,ADASYN,SVM,0.3857,0.6149,0.4729,0.6714
KC1,None,ADASYN,RF,0.4971,0.4334,0.4614,0.7017
KC1,None,ADASYN,XGB,0.4721,0.3949,0.4289,0.6811
KC1,IG,None,LR,0.6612,0.1939,0.2977,0.676
KC1,IG,None,SVM,0.7065,0.1626,0.2625,0.6452
KC1,IG,None,RF,0.4975,0.2808,0.3578,0.6954
KC1,IG,None,XGB,0.5178,0.3602,0.423,0.6583
KC1,IG,SMOTE,LR,0.4153,0.5608,0.4754,0.6691
KC1,IG,SMOTE,SVM,0.4137,0.5193,0.4579,0.6646
KC1,IG,SMOTE,RF,0.4363,0.4078,0.4209,0.6613
KC1,IG,SMOTE,XGB,0.4624,0.4234,0.4416,0.662
KC1,IG,ADASYN,LR,0.3844,0.6439,0.4808,0.6706
KC1,IG,ADASYN,SVM,0.3678,0.6472,0.468,0.6697
KC1,IG,ADASYN,RF,0.4365,0.4269,0.4292,0.6718
KC1,IG,ADASYN,XGB,0.4395,0.4172,0.4262,0.6579
KC1,CFS,None,LR,0.5922,0.1752,0.2687,0.6785
KC1,CFS,None,SVM,0.6375,0.1564,0.2503,0.6374
KC1,CFS,None,RF,0.5444,0.3191,0.3995,0.6816
KC1,CFS,None,XGB,0.5008,0.3378,0.4009,0.6563
KC1,CFS,SMOTE,LR,0.4123,0.5638,0.475,0.6761
KC1,CFS,SMOTE,SVM,0.4227,0.5132,0.4599,0.6697
KC1,CFS,SMOTE,RF,0.4411,0.3954,0.4142,0.6731
KC1,CFS,SMOTE,XGB,0.4611,0.3918,0.4219,0.6485
KC1,CFS,ADASYN,LR,0.3753,0.6409,0.4727,0.6765
KC1,CFS,ADASYN,SVM,0.3848,0.6214,0.4748,0.6744
KC1,CFS,ADASYN,RF,0.4632,0.4241,0.4403,0.6772
KC1,CFS,ADASYN,XGB,0.4691,0.4112,0.4365,0.6643
KC3,None,None,LR,0.34,0.2,0.2205,0.6923
KC3,None,None,SVM,0.0,0.0,0.0,0.7333
KC3,None,None,RF,0.3667,0.1833,0.23,0.7366
KC3,None,None,XGB,0.515,0.275,0.325,0.6918
KC3,None,SMOTE,LR,0.4207,0.475,0.426,0.6556
KC3,None,SMOTE,SVM,0.3244,0.3833,0.3087,0.6804
KC3,None,SMOTE,RF,0.5067,0.3417,0.3918,0.7521
KC3,None,SMOTE,XGB,0.3517,0.35,0.3221,0.7604
KC3,None,ADASYN,LR,0.3754,0.475,0.4024,0.6877
KC3,None,ADASYN,SVM,0.3604,0.4583,0.3588,0.709
KC3,None,ADASYN,RF,0.4875,0.4583,0.4452,0.7578
KC3,None,ADASYN,XGB,0.4117,0.3583,0.3498,0.7306
KC3,IG,None,LR,0.4167,0.1667,0.22,0.6469
KC3,IG,None,SVM,0.2,0.0667,0.1,0.6725
KC3,IG,None,RF,0.35,0.2167,0.2533,0.7543
KC3,IG,None,XGB,0.225,0.2167,0.2174,0.7201
KC3,IG,SMOTE,LR,0.3267,0.475,0.38,0.6696
KC3,IG,SMOTE,SVM,0.3131,0.4333,0.3446,0.6637
KC3,IG,SMOTE,RF,0.3917,0.3083,0.3352,0.7477
KC3,IG,SMOTE,XGB,0.3333,0.3333,0.324,0.7058
KC3,IG,ADASYN,LR,0.3273,0.5,0.3862,0.6568
KC3,IG,ADASYN,SVM,0.4151,0.4333,0.3583,0.6839
KC3,IG,ADASYN,RF,0.5667,0.45,0.4802,0.7365
KC3,IG,ADASYN,XGB,0.4283,0.3083,0.3413,0.7013
KC3,CFS,None,LR,0.4167,0.2,0.2567,0.6899
KC3,CFS,None,SVM,0.3,0.0917,0.14,0.7222
KC3,CFS,None,RF,0.275,0.2167,0.2371,0.7336
KC3,CFS,None,XGB,0.3917,0.2583,0.3007,0.7181
KC3,CFS,SMOTE,LR,0.3962,0.475,0.3953,0.6568
KC3,CFS,SMOTE,SVM,0.4033,0.4583,0.3972,0.7109
KC3,CFS,SMOTE,RF,0.3633,0.3667,0.3574,0.6984
KC3,CFS,SMOTE,XGB,0.3867,0.4667,0.4201,0.6782
KC3,CFS,ADASYN,LR,0.4079,0.5417,0.4467,0.6772
KC3,CFS,ADASYN,SVM,0.3283,0.4833,0.3811,0.6953
KC3,CFS,ADASYN,RF,0.3562,0.3917,0.3656,0.6941
KC3,CFS,ADASYN,XGB,0.3783,0.4167,0.3841,0.6797
MC1,None,None,LR,0.0833,0.04,0.0536,0.7853
MC1,None,None,SVM,0.0,0.0,0.0,0.6882
MC1,None,None,RF,0.4667,0.17,0.2405,0.9021
MC1,None,None,XGB,0.4167,0.19,0.2512,0.8771
MC1,None,SMOTE,LR,0.0814,0.655,0.144,0.7609
MC1,None,SMOTE,SVM,0.1102,0.6,0.1852,0.7634
MC1,None,SMOTE,RF,0.3933,0.295,0.3338,0.9027
MC1,None,SMOTE,XGB,0.2833,0.29,0.2808,0.8625
MC1,None,ADASYN,LR,0.0804,0.675,0.143,0.7637
MC1,None,ADASYN,SVM,0.1048,0.62,0.1782,0.7651
MC1,None,ADASYN,RF,0.4217,0.34,0.3703,0.9163
MC1,None,ADASYN,XGB,0.3067,0.27,0.286,0.8769
MC1,IG,None,LR,0.1,0.02,0.0333,0.7836
MC1,IG,None,SVM,0.0,0.0,0.0,0.639
MC1,IG,None,RF,0.45,0.19,0.2587,0.8969
MC1,IG,None,XGB,0.5167,0.165,0.2344,0.8838
MC1,IG,SMOTE,LR,0.0651,0.56,0.1161,0.7601
MC1,IG,SMOTE,SVM,0.0844,0.63,0.1483,0.7956
MC1,IG,SMOTE,RF,0.52,0.485,0.4904,0.906
MC1,IG,SMOTE,XGB,0.3505,0.4,0.3668,0.8706
MC1,IG,ADASYN,LR,0.0564,0.535,0.1017,0.7682
MC1,IG,ADASYN,SVM,0.0817,0.675,0.1452,0.7952
MC1,IG,ADASYN,RF,0.5179,0.43,0.4553,0.8871
MC1,IG,ADASYN,XGB,0.369,0.4,0.3706,0.8841
MC1,CFS,None,LR,0.1,0.02,0.0333,0.7886
MC1,CFS,None,SVM,0.0,0.0,0.0,0.7076
MC1,CFS,None,RF,0.41,0.195,0.241,0.905
MC1,CFS,None,XGB,0.5333,0.205,0.2777,0.8363
MC1,CFS,SMOTE,LR,0.0561,0.575,0.1019,0.7563
MC1,CFS,SMOTE,SVM,0.0908,0.715,0.1604,0.7854
MC1,CFS,SMOTE,RF,0.425,0.4,0.4082,0.9038
MC1,CFS,SMOTE,XGB,0.4031,0.37,0.3637,0.8572
MC1,CFS,ADASYN,LR,0.055,0.575,0.1001,0.7622
MC1,CFS,ADASYN,SVM,0.0821,0.715,0.1469,0.7827
MC1,CFS,ADASYN,RF,0.4,0.4,0.3985,0.9131
MC1,CFS,ADASYN,XGB,0.3744,0.31,0.3233,0.849
MC2,None,None,LR,0.5683,0.46,0.4929,0.7452
MC2,None,None,SVM,0.65,0.305,0.399,0.7652
MC2,None,None,RF,0.7,0.41,0.5087,0.7119
MC2,None,None,XGB,0.675,0.39,0.4777,0.6912
MC2,None,SMOTE,LR,0.56,0.625,0.5791,0.749
MC2,None,SMOTE,SVM,0.5817,0.645,0.6002,0.7646
MC2,None,SMOTE,RF,0.6383,0.455,0.5205,0.734
MC2,None,SMOTE,XGB,0.77,0.545,0.6181,0.7356
MC2,None,ADASYN,LR,0.5502,0.67,0.5901,0.7521
MC2,None,ADASYN,SVM,0.5738,0.735,0.6267,0.7602
MC2,None,ADASYN,RF,0.6733,0.51,0.561,0.7421
MC2,None,ADASYN,XGB,0.665,0.575,0.6021,0.7315
MC2,IG,None,LR,0.5583,0.39,0.4405,0.6837
MC2,IG,None,SVM,0.6833,0.3,0.4019,0.7511
MC2,IG,None,RF,0.6333,0.34,0.4301,0.6856
MC2,IG,None,XGB,0.6012,0.46,0.4995,0.6345
MC2,IG,SMOTE,LR,0.5483,0.55,0.5174,0.6965
MC2,IG,SMOTE,SVM,0.5717,0.545,0.549,0.6885
MC2,IG,SMOTE,RF,0.5583,0.385,0.4437,0.659
MC2,IG,SMOTE,XGB,0.4662,0.41,0.4266,0.671
MC2,IG,ADASYN,LR,0.4798,0.545,0.4924,0.6956
MC2,IG,ADASYN,SVM,0.5962,0.61,0.591,0.6786
MC2,IG,ADASYN,RF,0.5662,0.435,0.4666,0.6511
MC2,IG,ADASYN,XGB,0.597,0.505,0.5246,0.6555
MC2,CFS,None,LR,0.8,0.35,0.461,0.7529
MC2,CFS,None,SVM,0.7667,0.325,0.4371,0.7016
MC2,CFS,None,RF,0.65,0.405,0.4956,0.6615
MC2,CFS,None,XGB,0.4817,0.435,0.4479,0.5769
MC2,CFS,SMOTE,LR,0.5776,0.58,0.542,0.7847
MC2,CFS,SMOTE,SVM,0.5567,0.42,0.4421,0.6985
MC2,CFS,SMOTE,RF,0.54,0.43,0.4726,0.6336
MC2,CFS,SMOTE,XGB,0.5417,0.525,0.521,0.6187
MC2,CFS,ADASYN,LR,0.581,0.625,0.5661,0.7667
MC2,CFS,ADASYN,SVM,0.5705,0.57,0.5541,0.6898
MC2,CFS,ADASYN,RF,0.4833,0.435,0.4452,0.6286
MC2,CFS,ADASYN,XGB,0.509,0.495,0.4882,0.5994
MW1,None,None,LR,0.4167,0.2667,0.3133,0.7219
MW1,None,None,SVM,0.0,0.0,0.0,0.6862
MW1,None,None,RF,0.35,0.2167,0.26,0.6962
MW1,None,None,XGB,0.4833,0.2667,0.3367,0.6916
MW1,None,SMOTE,LR,0.2094,0.5333,0.2962,0.7055
MW1,None,SMOTE,SVM,0.3043,0.3667,0.3205,0.6922
MW1,None,SMOTE,RF,0.3833,0.3833,0.38,0.6846
MW1,None,SMOTE,XGB,0.3917,0.3333,0.3419,0.701
MW1,None,ADASYN,LR,0.1755,0.5,0.2551,0.6741
MW1,None,ADASYN,SVM,0.1841,0.4,0.2459,0.6517
MW1,None,ADASYN,RF,0.4367,0.3833,0.4017,0.7057
MW1,None,ADASYN,XGB,0.3833,0.3167,0.3252,0.7142
MW1,IG,None,LR,0.55,0.2333,0.3233,0.7219
MW1,IG,None,SVM,0.25,0.1167,0.1567,0.6742
MW1,IG,None,RF,0.15,0.0833,0.1,0.6988
MW1,IG,None,XGB,0.375,0.1833,0.2286,0.6947
MW1,IG,SMOTE,LR,0.2182,0.5,0.3001,0.695
MW1,IG,SMOTE,SVM,0.3033,0.3833,0.3288,0.6302
MW1,IG,SMOTE,RF,0.4317,0.3833,0.3824,0.6643
MW1,IG,SMOTE,XGB,0.4067,0.3833,0.3786,0.7223
MW1,IG,ADASYN,LR,0.185,0.4667,0.2598,0.6619
MW1,IG,ADASYN,SVM,0.1903,0.4167,0.2528,0.6634
MW1,IG,ADASYN,RF,0.39,0.35,0.3567,0.669
MW1,IG,ADASYN,XGB,0.3167,0.3,0.3038,0.6968
MW1,CFS,None,LR,0.3,0.1667,0.2133,0.7266
MW1,CFS,None,SVM,0.1667,0.1167,0.1333,0.6897
MW1,CFS,None,RF,0.3,0.1833,0.22,0.723
MW1,CFS,None,XGB,0.375,0.2667,0.3052,0.7119
MW1,CFS,SMOTE,LR,0.2051,0.4667,0.2809,0.736
MW1,CFS,SMOTE,SVM,0.2619,0.3833,0.3086,0.7099
MW1,CFS,SMOTE,RF,0.3167,0.3167,0.3138,0.6849
MW1,CFS,SMOTE,XGB,0.5417,0.4,0.43,0.6988
MW1,CFS,ADASYN,LR,0.1763,0.4,0.2391,0.7054
MW1,CFS,ADASYN,SVM,0.3264,0.4667,0.3324,0.7008
MW1,CFS,ADASYN,RF,0.275,0.2833,0.2733,0.6993
MW1,CFS,ADASYN,XGB,0.57,0.3333,0.3952,0.724
PC1,None,None,LR,0.475,0.131,0.1938,0.8601
PC1,None,None,SVM,0.4,0.0833,0.1357,0.8115
PC1,None,None,RF,0.4333,0.2167,0.2789,0.8821
PC1,None,None,XGB,0.4,0.2167,0.2783,0.8719
PC1,None,SMOTE,LR,0.2859,0.7071,0.4036,0.8549
PC1,None,SMOTE,SVM,0.2621,0.7095,0.3815,0.8423
PC1,None,SMOTE,RF,0.4975,0.431,0.4302,0.8787
PC1,None,SMOTE,XGB,0.5367,0.4143,0.4365,0.8936
PC1,None,ADASYN,LR,0.2813,0.7571,0.407,0.8508
PC1,None,ADASYN,SVM,0.249,0.7405,0.3705,0.8434
PC1,None,ADASYN,RF,0.5207,0.3976,0.4194,0.8707
PC1,None,ADASYN,XGB,0.5185,0.4476,0.4405,0.8919
PC1,IG,None,LR,0.3417,0.1,0.1466,0.8527
PC1,IG,None,SVM,0.35,0.0833,0.1321,0.8154
PC1,IG,None,RF,0.4333,0.2,0.2689,0.8718
PC1,IG,None,XGB,0.44,0.2667,0.3258,0.8618
PC1,IG,SMOTE,LR,0.2421,0.7024,0.3575,0.8611
PC1,IG,SMOTE,SVM,0.2156,0.7762,0.3347,0.821
PC1,IG,SMOTE,RF,0.449,0.4452,0.4351,0.873
PC1,IG,SMOTE,XGB,0.4121,0.481,0.4327,0.8988
PC1,IG,ADASYN,LR,0.2332,0.7024,0.3473,0.8583
PC1,IG,ADASYN,SVM,0.2133,0.7738,0.3336,0.8411
PC1,IG,ADASYN,RF,0.4931,0.4476,0.4311,0.8794
PC1,IG,ADASYN,XGB,0.5039,0.481,0.4756,0.885
PC1,CFS,None,LR,0.2583,0.1,0.1422,0.8509
PC1,CFS,None,SVM,0.4,0.1,0.1571,0.8082
PC1,CFS,None,RF,0.4583,0.2333,0.2978,0.8714
PC1,CFS,None,XGB,0.3817,0.2333,0.2875,0.8802
PC1,CFS,SMOTE,LR,0.2191,0.6881,0.3298,0.8446
PC1,CFS,SMOTE,SVM,0.2048,0.6738,0.3118,0.8222
PC1,CFS,SMOTE,RF,0.4737,0.5452,0.4978,0.8856
PC1,CFS,SMOTE,XGB,0.4563,0.4976,0.4629,0.8837
PC1,CFS,ADASYN,LR,0.216,0.7333,0.3322,0.8448
PC1,CFS,ADASYN,SVM,0.2196,0.8238,0.3458,0.8323
PC1,CFS,ADASYN,RF,0.4497,0.5286,0.4785,0.8868
PC1,CFS,ADASYN,XGB,0.4311,0.481,0.4468,0.873
PC2,None,None,LR,0.0,0.0,0.0,0.7877
PC2,None,None,SVM,0.0,0.0,0.0,0.7302
PC2,None,None,RF,0.0,0.0,0.0,0.8165
PC2,None,None,XGB,0.0,0.0,0.0,0.7744
PC2,None,SMOTE,LR,0.0667,0.55,0.1177,0.7911
PC2,None,SMOTE,SVM,0.091,0.45,0.149,0.7866
PC2,None,SMOTE,RF,0.0,0.0,0.0,0.8302
PC2,None,SMOTE,XGB,0.075,0.1,0.0833,0.8189
PC2,None,ADASYN,LR,0.0658,0.55,0.1164,0.7904
PC2,None,ADASYN,SVM,0.0838,0.45,0.1393,0.7819
PC2,None,ADASYN,RF,0.1,0.05,0.0667,0.8162
PC2,None,ADASYN,XGB,0.05,0.05,0.05,0.836
PC2,IG,None,LR,0.0,0.0,0.0,0.8248
PC2,IG,None,SVM,0.0,0.0,0.0,0.4322
PC2,IG,None,RF,0.0,0.0,0.0,0.8427
PC2,IG,None,XGB,0.0,0.0,0.0,0.8128
PC2,IG,SMOTE,LR,0.0571,0.65,0.1037,0.8054
PC2,IG,SMOTE,SVM,0.0968,0.65,0.1645,0.8186
PC2,IG,SMOTE,RF,0.1033,0.15,0.1186,0.8113
PC2,IG,SMOTE,XGB,0.0867,0.15,0.1086,0.8168
PC2,IG,ADASYN,LR,0.0581,0.65,0.1057,0.7811
PC2,IG,ADASYN,SVM,0.0781,0.55,0.1348,0.7754
PC2,IG,ADASYN,RF,0.1333,0.25,0.1733,0.8404
PC2,IG,ADASYN,XGB,0.09,0.15,0.1071,0.8421
