Dataset,FS,Imbalance,Classifier,Precision,Recall,F1,AUC,MCC,AUC_PR
CM1,,,LR,0.2333,0.095,0.1305,0.7509,0.0888,0.4164
CM1,,,SVM,0.0,0.0,0.0,0.7243,-0.0075,0.353
CM1,,,RF,0.0,0.0,0.0,0.7064,-0.0504,0.2788
CM1,,,XGB,0.2417,0.155,0.1808,0.7787,0.1291,0.4082
CM1,,SMOTE,LR,0.2734,0.595,0.3693,0.7351,0.2711,0.3805
CM1,,SMOTE,SVM,0.2517,0.465,0.3189,0.7465,0.206,0.3999
CM1,,SMOTE,RF,0.3152,0.21,0.2254,0.7418,0.166,0.3431
CM1,,SMOTE,XGB,0.3177,0.325,0.3102,0.7538,0.2284,0.4154
CM1,,ADASYN,LR,0.2543,0.595,0.3501,0.7376,0.2477,0.4122
CM1,,ADASYN,SVM,0.2561,0.54,0.3412,0.7297,0.2355,0.4117
CM1,,ADASYN,RF,0.2333,0.23,0.2236,0.7491,0.1425,0.3259
CM1,,ADASYN,XGB,0.3365,0.355,0.3298,0.7646,0.2386,0.4487
CM1,,CostSensitive,LR,0.2602,0.62,0.3592,0.7296,0.2639,0.3929
CM1,,CostSensitive,SVM,0.2406,0.595,0.3375,0.7326,0.2345,0.3552
CM1,,CostSensitive,RF,0.2152,0.205,0.2024,0.7213,0.1205,0.2953
CM1,,CostSensitive,XGB,0.3533,0.23,0.2544,0.7675,0.1996,0.3838
CM1,IG,,LR,0.3333,0.095,0.1419,0.7459,0.1366,0.3991
CM1,IG,,SVM,0.0,0.0,0.0,0.6825,0.0,0.3251
CM1,IG,,RF,0.0,0.0,0.0,0.7041,-0.0587,0.3008
CM1,IG,,XGB,0.2033,0.12,0.1486,0.7331,0.0902,0.3494
CM1,IG,SMOTE,LR,0.2898,0.635,0.3843,0.7967,0.2905,0.4865
CM1,IG,SMOTE,SVM,0.2445,0.585,0.3414,0.7309,0.2419,0.3862
CM1,IG,SMOTE,RF,0.2635,0.28,0.262,0.7183,0.1684,0.3379
CM1,IG,SMOTE,XGB,0.4292,0.405,0.4007,0.761,0.3265,0.4359
CM1,IG,ADASYN,LR,0.2878,0.64,0.3923,0.7892,0.3015,0.4579
CM1,IG,ADASYN,SVM,0.2235,0.585,0.3199,0.7548,0.2115,0.4197
CM1,IG,ADASYN,RF,0.1667,0.2,0.1764,0.7154,0.0708,0.302
CM1,IG,ADASYN,XGB,0.3667,0.305,0.3174,0.713,0.2556,0.4125
CM1,IG,CostSensitive,LR,0.2964,0.715,0.4128,0.7783,0.3328,0.4341
CM1,IG,CostSensitive,SVM,0.2492,0.54,0.336,0.7294,0.2269,0.3824
CM1,IG,CostSensitive,RF,0.1821,0.16,0.1598,0.7155,0.0656,0.3028
CM1,IG,CostSensitive,XGB,0.3083,0.205,0.2203,0.7158,0.1604,0.3605
CM1,CFS,,LR,0.1333,0.075,0.0952,0.7932,0.0474,0.4322
CM1,CFS,,SVM,0.0,0.0,0.0,0.644,0.0,0.2936
CM1,CFS,,RF,0.1,0.025,0.04,0.7051,0.0124,0.2972
CM1,CFS,,XGB,0.2417,0.12,0.1527,0.7325,0.0983,0.3554
CM1,CFS,SMOTE,LR,0.3035,0.69,0.413,0.8057,0.3321,0.4508
CM1,CFS,SMOTE,SVM,0.2344,0.595,0.3315,0.7565,0.2242,0.398
CM1,CFS,SMOTE,RF,0.1493,0.185,0.162,0.6985,0.0453,0.259
CM1,CFS,SMOTE,XGB,0.2367,0.26,0.236,0.7084,0.141,0.3383
CM1,CFS,ADASYN,LR,0.3157,0.745,0.4364,0.8102,0.3648,0.4433
CM1,CFS,ADASYN,SVM,0.2269,0.57,0.3172,0.7474,0.2093,0.3778
CM1,CFS,ADASYN,RF,0.1429,0.165,0.1436,0.7088,0.0333,0.284
CM1,CFS,ADASYN,XGB,0.2115,0.19,0.1908,0.6902,0.0874,0.3247
CM1,CFS,CostSensitive,LR,0.3175,0.76,0.4396,0.8117,0.3729,0.4581
CM1,CFS,CostSensitive,SVM,0.2503,0.64,0.3565,0.7431,0.2583,0.3442
CM1,CFS,CostSensitive,RF,0.126,0.115,0.1147,0.6947,0.0083,0.2541
CM1,CFS,CostSensitive,XGB,0.1702,0.165,0.1655,0.7067,0.0833,0.351
JM1,,,LR,0.5898,0.1041,0.1766,0.6737,0.1802,0.4031
JM1,,,SVM,0.6079,0.0903,0.1572,0.6058,0.1739,0.3661
JM1,,,RF,0.5351,0.1896,0.2794,0.6927,0.2236,0.4154
JM1,,,XGB,0.4693,0.2147,0.2942,0.6651,0.2045,0.3886
JM1,,SMOTE,LR,0.3558,0.5149,0.4205,0.6734,0.2299,0.4036
JM1,,SMOTE,SVM,0.3768,0.4934,0.427,0.687,0.2467,0.3749
